nopol,capacity_kl,status
A0002TES,16,available
AB8083NA,6,available
AB8559AN,24,available
AB8559NA,24,available
AB8560NA,24,available
AB8561NA,24,available
AB8562NA,24,available
AB8563NA,24,available
AB8740NA,5,available
AD1318PU,16,available
AD1634KQ,10,available
AD1752CU,16,available
AD1758DU,32,available
AD1759DU,40,available
AD1780DU,32,available
AD1781DU,16,available
AD1812BC,32,available
AD1812DU,32,available
AD1939CU,24,available
AD1949CU,24,available
AD8031OH,8,available
AD8035OH,5,available
AD8040OA,16,available
AD8068OA,40,available
AD8125OA,8,available
AD8126OA,8,available
AD8134OH,8,available
AD8135OH,5,available
AD8138OA,5,available
AD8257OA,8,available
AD8499OA,40,available
AD8608KA,16,available
AD8619OH,24,available
AD8636OH,24,available
AD9568FC,16,available
B1234AF,24,available
B1904SFV,16,available
B22221Q,16,available
B9019SFV,16,available
B9023SFV,16,available
B9049SEJ,24,available
B9053SFV,16,available
B9059SFV,40,available
B9061SFV,16,available
B9063SFV,16,available
B9065SFV,16,available
B9071SEI,24,available
B9076SFV,12,available
B9077SEI,24,available
B9077SFV,24,available
B9095SEI,24,available
B9102SFV,16,available
B9104SFV,16,available
B9106SFV,16,available
B9109SFV,16,available
B9124SFU,12,available
B9125SFU,12,available
B9130SFW,16,available
B9132FEH,24,available
B9133FEH,24,available
B9134SEI,24,available
B9212SEH,24,available
B9213SEH,24,available
B9215SEH,24,available
B9216SEH,24,available
B9232SFV,16,available
B9235SFV,16,available
B9255SFV,16,available
B9285SFU,8,available
B9290TFV,24,available
B9300TFV,16,available
B9326FFU,5,available
B9326SEI,24,available
B9346SFU,16,available
B9351SEH,24,available
B9355TFV,24,available
B9416SEH,24,available
B9439TEI,24,available
B9440TEI,24,available
B9441TEI,24,available
B9442SFV,6,available
B9442TEI,24,available
B9443TEI,24,available
B9456SFV,16,available
B9492SFU,16,available
B9505TEI,24,available
B9515SFV,24,available
B9517SFV,24,available
B9521TEI,24,available
B9522TEI,24,available
B9543SFU,5,available
B9546TEI,24,available
B9570SEI,24,available
B9586SFV,24,available
B9597SEH,24,available
B9612TEI,24,available
B9614TEI,24,available
B9632SFU,5,available
B9697SFU,16,available
B9728PEI,24,available
B9775SEH,24,available
B9779SEH,24,available
B9811TEI,24,available
B9812TEI,24,available
B9902SFV,16,available
B9982SFV,16,available
B9983SFV,16,available
B9985SFV,16,available
B9986SFV,16,available
D9514YB,24,available
D9516YB,24,available
D9517YB,24,available
D9774YT,24,available
D9778YT,24,available
E8527AU,16,available
E883YA,32,available
E8993AS,16,available
E9036AG,24,available
E9053AA,24,available
E9072YB,32,available
E9073YB,32,available
E9099HB,24,available
E9132YC,24,available
E9144HD,24,available
E9145AF,24,available
E9206HD,24,available
E9208YC,24,available
E9210YB,24,available
E9210YC,24,available
E9220YC,24,available
E9227YB,24,available
E9241YC,24,available
E9250YC,24,available
E9251YC,24,available
E9252YC,24,available
E9253YC,24,available
E9254YC,24,available
E9255YC,24,available
E9256YC,24,available
E9257YC,24,available
E9258YC,24,available
E9259YC,24,available
E9260YC,24,available
E9261YC,24,available
E9262YC,24,available
E9263YC,24,available
E9264YC,24,available
E9265YC,24,available
E9266YC,24,available
E9267YC,24,available
E9268YC,24,available
E9269YC,24,available
E9270YC,24,available
E9271YC,24,available
E9272YC,24,available
E9273YC,24,available
E9274YC,24,available
E9275YC,24,available
E9276YC,24,available
E9277YC,24,available
E9278YC,24,available
E9279YC,24,available
E9280YC,24,available
E9281YC,24,available
E9282YC,24,available
E9283YC,24,available
E9284YC,24,available
E9285YC,24,available
E9286YC,24,available
E9287YC,24,available
E9288YC,24,available
E9289YC,24,available
E9290YC,24,available
E9291YC,24,available
E9292YC,24,available
E9293YC,24,available
E9294YC,24,available
E9295YC,24,available
E9296YC,24,available
E9297YC,24,available
E9298YC,24,available
E9299YC,24,available
E9300YC,24,available
E9301YC,24,available
E9302YC,24,available
E9303YC,24,available
E9304YC,24,available
E9305YC,24,available
E9306YC,24,available
E9307YC,24,available
E9308YC,24,available
E9309YC,24,available
E9310YC,24,available
G1897CA,24,available
G1896CA,24,available
G1898CA,24,available
G1901CA,24,available
G1909CA,16,available
G1922BB,15,available
G1926DE,16,available
